ID,feed_type,feed_shape,feed_particle_size,feed_LHV,C,H,N,S,O,feed_ash,feed_moisture,feed_VM,feed_FC,feed_cellulose,feed_hemicellulose,feed_lignin,temperature,operating_condition,operating_pressure,residence_time,steam_biomass_ratio,ER,gasifying_agent,reactor_type,bed_material,catalyst,scale,N2,H2,CO,CO2,CH4,C2Hn,gas_LHV,gas_tar,gas_yield,char_yield,CGE,CCE,Reference
58,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,2.7,0.22,air + steam,fluidised bed,silica,0,lab,1,32.5,37.5,18.5,7.5,3,8.56,NaN,2.23,NaN,100.58,85.9,"Lv, Bioresource Technology 2004, 95, 95-101"
59,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,4.04,0.22,air + steam,fluidised bed,silica,0,lab,0.5,32.5,37.5,19,7.5,3,8.1,NaN,1.95,NaN,83.23,75.1,"Lv, Bioresource Technology 2004, 95, 95-101"
60,woody biomass,dust,0.75,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,1.56,0.23,air + steam,fluidised bed,silica,0,lab,0,32.25,37.5,21.25,6.5,2.5,6.98,NaN,1.53,NaN,56.24,77.62,"Lv, Bioresource Technology 2004, 95, 95-101"
61,woody biomass,dust,0.53,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,1.56,0.23,air + steam,fluidised bed,silica,0,lab,0.25,32.25,37.5,19.5,7.5,3,7.94,NaN,1.93,NaN,80.72,84.4,"Lv, Bioresource Technology 2004, 95, 95-101"
62,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,1.56,0.23,air + steam,fluidised bed,silica,0,lab,0.25,32.25,40,17,7.5,3,8.71,NaN,2.37,NaN,108.75,90.6,"Lv, Bioresource Technology 2004, 95, 95-101"
63,woody biomass,dust,0.25,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,1.56,0.23,air + steam,fluidised bed,silica,0,lab,0.25,30.5,41,17,7.75,3.5,8.74,NaN,2.57,NaN,118.32,95.1,"Lv, Bioresource Technology 2004, 95, 95-101"
64,sewage sludge,other,3.5,11.5,48.75,8.57,7.32,1.61,33.75,44,6.95,56,NaN,NaN,NaN,NaN,750,continuous,NaN,80,NaN,0.2,air,fluidised bed,silica,0,lab,60.9,9.8,7.2,14.2,3.7,2.6,3.4,17.3,0.97,44.48,28.62,54,"de Andres, Fuel Processing Technology 2011, 92, 433-440"
65,sewage sludge,other,3.5,11.5,48.75,8.57,7.32,1.61,33.75,44,6.95,56,NaN,NaN,NaN,NaN,800,continuous,NaN,80,NaN,0.2,air,fluidised bed,silica,0,lab,52.2,14,10.7,13.6,4.9,3.2,4.8,14.1,1.02,35.56,42.53,67.3,"de Andres, Fuel Processing Technology 2011, 92, 433-440"
66,sewage sludge,other,3.5,11.5,48.75,8.57,7.32,1.61,33.75,44,6.95,56,NaN,NaN,NaN,NaN,850,continuous,NaN,80,NaN,0.2,air,fluidised bed,silica,0,lab,47.7,16.4,12.6,13,5.7,3.3,5.6,10.2,1.02,36.23,49.62,72.8,"de Andres, Fuel Processing Technology 2011, 92, 433-440"
67,sewage sludge,other,3.5,11.5,48.75,8.57,7.32,1.61,33.75,44,6.95,56,NaN,NaN,NaN,NaN,750,continuous,NaN,80,NaN,0.3,air,fluidised bed,silica,0,lab,65.1,7.6,6.9,14.1,2.7,2.1,2.8,11.8,1.27,44.99,31.01,66.2,"de Andres, Fuel Processing Technology 2011, 92, 433-440"
